subject;age;setsize;totalCases;mean_answer_correct;mean_response_time;median_response_time;sum_answer_correct;sum_of_changes;sum_of_noChanges;falseAlarm;correct_rejections;miss;hit;totalOfChange;totalOfHit;falseAlarmRate;hitRate;k;kPashler;joinKey
207;old;2;192;0,9062500;1270,2135;1051,0;174;96;96; 3;93;15;81;96;96;0,03125000;0,8437500;1,625000;1,677419;2072
207;old;4;192;0,7968750;1522,9531;1166,5;153;96;96;22;74;17;79;96;96;0,22916667;0,8229167;2,375000;3,081081;2074
207;old;6;192;0,6822917;1445,9427;1126,5;131;96;96;53;43; 8;88;96;96;0,55208333;0,9166667;2,187500;4,883721;2076
208;old;2;192;0,9010417;1050,7865; 968,5;173;96;96; 3;93;16;80;96;96;0,03125000;0,8333333;1,604167;1,655914;2082
208;old;4;192;0,8541667;1241,6146;1131,5;164;96;96; 6;90;22;74;96;96;0,06250000;0,7708333;2,833333;3,022222;2084
208;old;6;192;0,6666667;1156,3802;1082,0;128;96;96;33;63;31;65;96;96;0,34375000;0,6770833;2,000000;3,047619;2086
209;old;2;192;0,8854167;1883,6406;1354,5;170;96;96; 5;91;17;79;96;96;0,05208333;0,8229167;1,541667;1,626374;2092
209;old;4;192;0,7552083;2128,0052;1666,0;145;96;96;19;77;28;68;96;96;0,19791667;0,7083333;2,041667;2,545455;2094
209;old;6;192;0,6927083;2176,3281;1720,5;133;96;96;37;59;22;74;96;96;0,38541667;0,7708333;2,312500;3,762712;2096
210;old;2;192;0,9583333; 863,0625; 772,5;184;96;96; 3;93; 5;91;96;96;0,03125000;0,9479167;1,833333;1,892473;2102
210;old;4;192;0,8281250;1060,3281; 904,5;159;96;96;16;80;17;79;96;96;0,16666667;0,8229167;2,625000;3,150000;2104
210;old;6;192;0,7187500;1100,9948;1003,5;138;96;96;42;54;12;84;96;96;0,43750000;0,8750000;2,625000;4,666667;2106
211;old;2;192;0,8593750; 980,7865; 888,0;165;96;96; 3;93;24;72;96;96;0,03125000;0,7500000;1,437500;1,483871;2112
211;old;4;192;0,7708333;1098,4271;1043,5;148;96;96;15;81;29;67;96;96;0,15625000;0,6979167;2,166667;2,567901;2114
211;old;6;192;0,5885417;1210,7604;1130,5;113;96;96;46;50;33;63;96;96;0,47916667;0,6562500;1,062500;2,040000;2116
212;old;2;192;0,9270833;1643,2865;1331,0;178;96;96; 5;91; 9;87;96;96;0,05208333;0,9062500;1,708333;1,802198;2122
212;old;4;192;0,7916667;1794,0469;1429,0;152;96;96;11;85;29;67;96;96;0,11458333;0,6979167;2,333333;2,635294;2124
212;old;6;192;0,7135417;2185,9740;1708,0;137;96;96;20;76;35;61;96;96;0,20833333;0,6354167;2,562500;3,236842;2126
213;old;2;192;0,9583333;1113,0156; 916,0;184;96;96; 2;94; 6;90;96;96;0,02083333;0,9375000;1,833333;1,872340;2132
213;old;4;192;0,8333333;1294,5885; 959,5;160;96;96;16;80;16;80;96;96;0,16666667;0,8333333;2,666667;3,200000;2134
213;old;6;192;0,7291667;1383,1510;1044,0;140;96;96;28;68;24;72;96;96;0,29166667;0,7500000;2,750000;3,882353;2136
214;old;2;192;0,9375000;1158,6094;1033,0;180;96;96; 7;89; 5;91;96;96;0,07291667;0,9479167;1,750000;1,887640;2142
214;old;4;192;0,8177083;1445,3958;1283,5;157;96;96;10;86;25;71;96;96;0,10416667;0,7395833;2,541667;2,837209;2144
214;old;6;192;0,6510417;1620,4323;1437,5;125;96;96;19;77;48;48;96;96;0,19791667;0,5000000;1,812500;2,259740;2146
215;old;2;192;0,9166667; 943,4635; 874,5;176;96;96; 2;94;14;82;96;96;0,02083333;0,8541667;1,666667;1,702128;2152
215;old;4;192;0,8072917;1075,6979; 997,5;155;96;96;10;86;27;69;96;96;0,10416667;0,7187500;2,458333;2,744186;2154
215;old;6;192;0,6875000;1151,5000;1043,0;132;96;96;25;71;35;61;96;96;0,26041667;0,6354167;2,250000;3,042254;2156
216;old;2;192;0,8593750;1021,6198; 966,0;165;96;96; 1;95;26;70;96;96;0,01041667;0,7291667;1,437500;1,452632;2162
216;old;4;192;0,7604167;1170,1979;1021,0;146;96;96;11;85;35;61;96;96;0,11458333;0,6354167;2,083333;2,352941;2164
216;old;6;192;0,6718750;1299,6406;1137,5;129;96;96;26;70;37;59;96;96;0,27083333;0,6145833;2,062500;2,828571;2166
217;old;2;192;0,9062500;1039,8385;1005,5;174;96;96; 2;94;16;80;96;96;0,02083333;0,8333333;1,625000;1,659574;2172
217;old;4;192;0,7708333;1189,2604;1115,5;148;96;96;22;74;22;74;96;96;0,22916667;0,7708333;2,166667;2,810811;2174
217;old;6;192;0,7291667;1176,9792;1146,5;140;96;96;27;69;25;71;96;96;0,28125000;0,7395833;2,750000;3,826087;2176
218;old;2;192;0,9270833;2072,3333;1728,5;178;96;96; 5;91; 9;87;96;96;0,05208333;0,9062500;1,708333;1,802198;2182
218;old;4;192;0,8125000;2443,5052;1972,5;156;96;96;28;68; 8;88;96;96;0,29166667;0,9166667;2,500000;3,529412;2184
218;old;6;192;0,7135417;2385,5156;1967,5;137;96;96;45;51;10;86;96;96;0,46875000;0,8958333;2,562500;4,823529;2186
219;old;2;192;0,9479167;1221,6771;1010,5;182;96;96; 0;96;10;86;96;96;0,00000000;0,8958333;1,791667;1,791667;2192
219;old;4;192;0,8281250;1381,0833;1094,5;159;96;96; 4;92;29;67;96;96;0,04166667;0,6979167;2,625000;2,739130;2194
219;old;6;192;0,7343750;1301,6042;1125,5;141;96;96;11;85;40;56;96;96;0,11458333;0,5833333;2,812500;3,176471;2196
220;old;2;192;0,9427083;1710,2812;1485,5;181;96;96; 1;95;10;86;96;96;0,01041667;0,8958333;1,770833;1,789474;2202
220;old;4;192;0,7812500;1813,2083;1546,5;150;96;96;22;74;20;76;96;96;0,22916667;0,7916667;2,250000;2,918919;2204
220;old;6;192;0,6927083;1913,5469;1657,0;133;96;96;38;58;21;75;96;96;0,39583333;0,7812500;2,312500;3,827586;2206
