age;SetSize2;SetSize4;SetSize6;hit_2;hit_4;hit_6;miss_2;miss_4;miss_6;falseAlarmRate_Set_2;falseAlarmRate_Set_4;falseAlarmRate_Set_6;HitRate_Set_2;HitRate_Set_4;HitRate_Set_6;K_2_mean;K_4_mean;K_6_mean;K_2_median;K_4_median;K_6_median;K_2_Max;K_4_Max;K_6_Max
old;0,9216146;0,7984375;0,6973958;83,95;73,75;72,0;12,05;22,25;24,0;0,03125000;0,1713542;0,3552083;0,8744792;0,7682292;0,7500000;1,686458;2,38750;2,368750;1,6875;2,416667;2,43750;1,958333;2,833333;3,2500
young;0,9393229;0,8460937;0,7580729;87,85;79,95;78,7; 8,15;16,05;17,3;0,03645833;0,1406250;0,3036458;0,9151042;0,8328125;0,8197917;1,757292;2,76875;3,096875;1,7500;2,729167;3,15625;1,958333;3,375000;3,9375
