"subject","age","setsize","mean_answer_correct","mean_response_time","kPashler","k","test"
203,"old",8,0.522388059701492,1455.49253731343,5.25252525252526,0.463458110516934,"color"
204,"old",2,0.921875,605.484375,1.86206896551724,1.6875,"color"
204,"old",4,0.636363636363636,798.575757575758,2.25,1.125,"color"
204,"old",6,0.640625,761.109375,6,1.6875,"color"
204,"old",8,0.575757575757576,802.075757575758,4.6,1.35294117647059,"color"
205,"old",2,1,1156.10769230769,2,2,"color"
205,"old",4,0.830769230769231,2376.44615384615,2.92998955067921,2.65530303030303,"color"
205,"old",6,0.71875,2870.015625,3.65217391304348,2.625,"color"
205,"old",8,0.606060606060606,3554.07575757576,2.72941176470588,1.70588235294118,"color"
206,"old",2,0.921875,1141.28125,1.8,1.6875,"color"
206,"old",4,0.71875,1380.1875,3.5,1.75,"color"
206,"old",6,0.734375,1430.125,5.625,2.8125,"color"
206,"old",8,0.632352941176471,1429.69117647059,7.11111111111111,1.77777777777778,"color"
207,"old",2,0.921875,1179.296875,1.86206896551724,1.6875,"color"
207,"old",4,0.75,1381.171875,3.2,2,"color"
207,"old",6,0.651515151515151,1442.40909090909,6,1.94117647058824,"color"
207,"old",8,0.5,1412.45454545455,0,0,"color"
208,"old",2,1,1043.28358208955,2,2,"color"
208,"old",4,0.753846153846154,1337.87692307692,2.92391304347826,2.03787878787879,"color"
208,"old",6,0.8125,1270.546875,4.8,3.75,"color"
208,"old",8,0.5625,1331.078125,2.28571428571429,1,"color"
209,"old",2,0.923076923076923,1553.26153846154,2,1.6969696969697,"color"
209,"old",4,0.569230769230769,2008.04615384615,1.22943722943723,0.537878787878788,"color"
209,"old",6,0.609375,2084.90625,2,1.3125,"color"
209,"old",8,0.590909090909091,2420.48484848485,2.45201238390093,1.45588235294118,"color"
210,"old",2,0.953846153846154,737.153846153846,1.87487781036168,1.81628787878788,"color"
210,"old",4,0.878787878787879,1046.56060606061,4,3.05882352941176,"color"
210,"old",6,0.6,1037.98461538462,5.16883116883117,1.13068181818182,"color"
210,"old",8,0.625,1020.921875,7.11111111111111,2,"color"
211,"old",2,0.90625,1298.515625,1.73333333333333,1.625,"color"
211,"old",4,0.707692307692308,1442.27692307692,2.92255892255892,1.64393939393939,"color"
211,"old",6,0.65625,1544.78125,3.33333333333333,1.875,"color"
211,"old",8,0.522388059701492,1436.9552238806,0.789915966386554,0.335115864527629,"color"
212,"old",2,0.938461538461538,1616.35384615385,1.806640625,1.75189393939394,"color"
212,"old",4,0.738461538461539,2254.61538461538,2.41346153846154,1.90151515151515,"color"
212,"old",6,0.65625,2504.671875,2.5,1.875,"color"
212,"old",8,0.621212121212121,2695.60606060606,3.2,1.93939393939394,"color"
213,"old",2,0.984615384615385,940.153846153846,2,1.93939393939394,"color"
213,"old",4,0.742424242424242,1231.19696969697,3.04761904761905,1.93939393939394,"color"
213,"old",6,0.707692307692308,1259.50769230769,4.37171052631579,2.51704545454545,"color"
213,"old",8,0.5625,1489.71875,2.13333333333333,1,"color"
214,"old",2,0.984615384615385,1211.46153846154,1.93939393939394,1.93939393939394,"color"
214,"old",4,0.553846153846154,1592.03076923077,1.14423076923077,0.450757575757576,"color"
214,"old",6,0.692307692307692,1631.2,3.03,2.29545454545455,"color"
214,"old",8,0.630769230769231,1737.95384615385,3.4625,2.09848484848485,"color"
215,"old",2,0.938461538461538,813.523076923077,1.93125,1.75568181818182,"color"
215,"old",4,0.757575757575758,1036.34848484848,3.77777777777778,2.06060606060606,"color"
215,"old",6,0.676923076923077,1052.8,4.75324675324675,2.07954545454545,"color"
215,"old",8,0.65625,1041.890625,6.66666666666667,2.5,"color"
216,"old",2,0.907692307692308,1272.75384615385,1.79375,1.63068181818182,"color"
216,"old",4,0.734375,1443.65625,2.22222222222222,1.875,"color"
216,"old",6,0.630769230769231,1665.76923076923,2.63157894736842,1.5625,"color"
216,"old",8,0.606060606060606,1622.63636363636,3.29411764705882,1.64705882352941,"color"
217,"old",2,0.876923076923077,1109.70769230769,1.548828125,1.50189393939394,"color"
217,"old",4,0.71875,1292.1875,2.33333333333333,1.75,"color"
217,"old",6,0.640625,1235.40625,2.16,1.6875,"color"
217,"old",8,0.582089552238806,1348.5223880597,2.03409090909091,1.27857142857143,"color"
218,"old",2,0.984615384615385,1281.75384615385,2,1.93939393939394,"color"
218,"old",4,0.671875,1914.5,3.14285714285714,1.375,"color"
218,"old",6,0.676923076923077,1928.01538461538,5.51515151515152,2.06818181818182,"color"
218,"old",8,0.590909090909091,2291.68181818182,5.33333333333333,1.45454545454545,"color"
219,"old",2,0.984615384615385,1063.41538461538,1.9375,1.9375,"color"
219,"old",4,0.815384615384615,1150.52307692308,2.96875,2.51893939393939,"color"
219,"old",6,0.78125,1270.90625,4.15384615384615,3.375,"color"
219,"old",8,0.681818181818182,1316,3.84,2.90909090909091,"color"
220,"old",2,0.96969696969697,1315.07575757576,1.93560606060606,1.87867647058824,"color"
220,"old",4,0.796875,1675.28125,2.92307692307692,2.375,"color"
220,"old",6,0.646153846153846,1904.63076923077,3.06907894736842,1.76704545454545,"color"
220,"old",8,0.661538461538462,2302.90769230769,4.80570409982175,2.5530303030303,"color"
