"subject","age","setsize","mean_answer_correct","mean_response_time","kPashler","k","test"
101,"young",2,0.984375,969.328125,2,1.9375,"color"
101,"young",4,0.923076923076923,1272.26153846154,4,3.375,"color"
101,"young",6,0.772727272727273,1585.27272727273,5.39285714285714,3.33088235294118,"color"
101,"young",8,0.661538461538462,1655.73846153846,6.23214285714286,2.64393939393939,"color"
102,"young",2,0.96969696969697,1151.98484848485,1.9392789373814,1.87867647058824,"color"
102,"young",4,0.863636363636364,1269.04545454545,3.68518518518519,2.92647058823529,"color"
102,"young",6,0.6875,1395.40625,4.23529411764706,2.25,"color"
102,"young",8,0.625,1640.265625,4.57142857142857,2,"color"
103,"young",2,1,895.609375,2,2,"color"
103,"young",4,0.940298507462687,970.044776119403,3.87389162561576,3.51071428571429,"color"
103,"young",6,0.859375,1081.84375,5.30769230769231,4.3125,"color"
103,"young",8,0.738461538461539,1175.26153846154,5.78354978354978,3.79545454545455,"color"
104,"young",2,0.984375,450.375,2,1.9375,"color"
104,"young",4,0.818181818181818,623.878787878788,3.65217391304348,2.54545454545455,"color"
104,"young",6,0.646153846153846,681.107692307692,3.67272727272727,1.72159090909091,"color"
104,"young",8,0.661538461538462,785.938461538462,5.09090909090909,2.54545454545455,"color"
105,"young",2,0.985074626865672,471.268656716418,1.94117647058824,1.94117647058824,"color"
105,"young",4,0.859375,547.203125,3.53846153846154,2.875,"color"
105,"young",6,0.723076923076923,569.292307692308,4.4688995215311,2.65340909090909,"color"
105,"young",8,0.65625,565.890625,5.71428571428571,2.5,"color"
106,"young",2,0.984375,726.875,2,1.9375,"color"
106,"young",4,0.954545454545455,744.636363636364,3.75,3.63636363636364,"color"
106,"young",6,0.815384615384615,935.261538461538,5.03030303030303,3.77272727272727,"color"
106,"young",8,0.723076923076923,1078.09230769231,7.03030303030303,3.51515151515152,"color"
107,"young",2,0.96875,1016.71875,2,1.875,"color"
107,"young",4,0.830769230769231,1172.35384615385,4,2.625,"color"
107,"young",6,0.676923076923077,1305.69230769231,5.10489510489511,2.07386363636364,"color"
107,"young",8,0.621212121212121,1380.72727272727,5.33333333333333,1.93939393939394,"color"
108,"young",2,0.953846153846154,487.184615384615,2,1.81818181818182,"color"
108,"young",4,0.859375,532.171875,3.83333333333333,2.875,"color"
108,"young",6,0.609375,628.984375,3.23076923076923,1.3125,"color"
108,"young",8,0.626865671641791,596.432835820896,5.41176470588235,1.96791443850267,"color"
109,"young",2,0.984375,478.765625,1.9375,1.9375,"color"
109,"young",4,0.892307692307692,593.461538461538,3.84722222222222,3.14772727272727,"color"
109,"young",6,0.753846153846154,700.076923076923,5.65625,3.08522727272727,"color"
109,"young",8,0.636363636363636,738,6.03846153846154,2.30882352941176,"color"
110,"young",2,0.938461538461538,538.261538461538,1.86693548387097,1.75378787878788,"color"
110,"young",4,0.96875,591.671875,3.75,3.75,"color"
