SetSizeTotal;SetSize2;SetSize4;SetSize6;K_Total_mean;K_2_mean;K_4_mean;K_6_mean;K_PTotal_mean;K_P2_mean;K_P4_mean;K_P6_mean;experiment
0,07188048;0,03188412;0,14582769;0,06196605;0,7001918;0,12716132;1,163884;0,7431985;0,8487671;0,09105865;0,9223351;0,6265877;color
0,04201389;0,01770833;0,04765625;0,06067708;0,3934028;0,07083333;0,381250;0,7281250;0,3733216;0,08229771;0,3316750;0,7059921;object
