age;SetSize2;SetSize4;SetSize6;hit_2;hit_4;hit_6;miss_2;miss_4;miss_6;falseAlarmRate_Set_2;falseAlarmRate_Set_4;falseAlarmRate_Set_6;HitRate_Set_2;HitRate_Set_4;HitRate_Set_6;K_2_mean;K_4_mean;K_6_mean;K_2_median;K_4_median;K_6_median;K_2_Max;K_4_Max;K_6_Max
old;0,9450594;0,7283621;0,668565;30,45;26,65;25,95;1,75;5,65;6,3;0,05525847;0,3674465;0,4671569;0,9454545;0,8248580;0,8040720;1,780392;1,829646;2,021491;1,753788;1,888258;1,875000;2;3,058824;3,7500
young;0,9769435;0,8741898;0,730531;32,15;31,15;28,75;0,40;1,50;3,7;0,03404635;0,2056651;0,4251950;0,9878231;0,9540476;0,8859765;1,907553;2,993530;2,764689;1,937500;2,926471;3,011364;2;3,750000;4,3125
