subject;age;condition;totalCases;correct_answer;mean_answer_correct;mean_response_time;median_response_time;falseAlarm;correct_rejection;miss;hit;noChangeTotal;changeTotal;falseAlarmRate;hitRate;kPashler;k;joinKey
111;young;2;65;65;1,0000000; 833,9846; 746,0; 0;33; 0;32;33;32;0,00000000;1,0000000;2,000000;2,0000000;1112
111;young;4;64;60;0,9375000;1069,7031; 885,5; 4;28; 0;32;32;32;0,12500000;1,0000000;4,000000;3,5000000;1114
111;young;6;65;48;0,7384615;1141,6769;1031,0;17;15; 0;33;32;33;0,53125000;1,0000000;6,000000;2,8125000;1116
111;young;8;66;41;0,6212121;1195,3333;1041,0;24; 9; 1;32;33;33;0,72727273;0,9696970;7,111111;1,9393939;1118
112;young;2;65;65;1,0000000; 957,3077; 863,0; 0;32; 0;33;32;33;0,00000000;1,0000000;2,000000;2,0000000;1122
112;young;4;66;57;0,8636364;1073,7121; 943,0; 7;27; 2;30;34;32;0,20588235;0,9375000;3,685185;2,9264706;1124
112;young;6;65;49;0,7538462;1090,6000;1016,0;12;20; 4;29;32;33;0,37500000;0,8787879;4,836364;3,0227273;1126
112;young;8;64;44;0,6875000;1291,5781;1126,0;16;16; 4;28;32;32;0,50000000;0,8750000;6,000000;3,0000000;1128
113;young;2;66;62;0,9393939; 489,0000; 461,5; 3;29; 1;33;32;34;0,09375000;0,9705882;1,935091;1,7536765;1132
113;young;4;65;54;0,8307692; 622,2308; 598,0; 7;25; 4;29;32;33;0,21875000;0,8787879;3,379394;2,6401515;1134
113;young;6;64;50;0,7812500; 694,8594; 637,5;11;21; 3;29;32;32;0,34375000;0,9062500;5,142857;3,3750000;1136
113;young;8;65;41;0,6307692; 772,9231; 734,0;20;13; 4;28;33;32;0,60606061;0,8750000;5,461538;2,1515152;1138
114;young;2;65;63;0,9692308; 922,2769; 847,0; 2;30; 0;33;32;33;0,06250000;1,0000000;2,000000;1,8750000;1142
114;young;4;64;55;0,8593750;1114,1875; 974,5; 6;26; 3;29;32;32;0,18750000;0,9062500;3,538462;2,8750000;1144
114;young;6;66;37;0,5606061;1280,1364;1115,5;23;11; 6;26;34;32;0,67647059;0,8125000;2,522727;0,8161765;1146
114;young;8;65;44;0,6769231;1400,3692;1132,0;17;16; 4;28;33;32;0,51515152;0,8750000;5,937500;2,8787879;1148
115;young;2;65;64;0,9846154; 869,6154; 738,0; 0;33; 1;31;33;32;0,00000000;0,9687500;1,937500;1,9375000;1152
115;young;4;64;59;0,9218750; 942,1875; 809,0; 4;28; 1;31;32;32;0,12500000;0,9687500;3,857143;3,3750000;1154
115;young;6;64;43;0,6718750; 972,3906; 886,5;13;19; 8;24;32;32;0,40625000;0,7500000;3,473684;2,0625000;1156
115;young;8;67;43;0,6417910; 978,3134; 907,0;15;18; 9;25;33;34;0,45454545;0,7352941;4,117647;2,2459893;1158
116;young;2;64;63;0,9843750; 464,1094; 441,0; 1;31; 0;32;32;32;0,03125000;1,0000000;2,000000;1,9375000;1162
116;young;4;67;60;0,8955224; 609,9701; 513,0; 5;27; 2;33;32;35;0,15625000;0,9428571;3,729101;3,1464286;1164
116;young;6;65;53;0,8153846; 603,8308; 570,0;10;23; 2;30;33;32;0,30303030;0,9375000;5,461957;3,8068182;1166
116;young;8;64;38;0,5937500; 605,8750; 575,5;25; 7; 1;31;32;32;0,78125000;0,9687500;6,857143;1,5000000;1168
117;young;2;65;62;0,9538462; 745,5846; 634,0; 3;29; 0;33;32;33;0,09375000;1,0000000;2,000000;1,8125000;1172
117;young;4;65;51;0,7846154; 943,2923; 756,0;13;19; 1;32;32;33;0,40625000;0,9696970;3,795853;2,2537879;1174
117;young;6;66;50;0,7575758;1023,6364; 752,0;13;19; 3;31;32;34;0,40625000;0,9117647;5,108359;3,0330882;1176
117;young;8;64;39;0,6093750; 927,0781; 805,0;21;11; 4;28;32;32;0,65625000;0,8750000;5,090909;1,7500000;1178
118;young;2;65;64;0,9846154; 674,6000; 631,0; 1;31; 0;33;32;33;0,03125000;1,0000000;2,000000;1,9375000;1182
118;young;4;65;53;0,8153846; 927,6308; 843,0;10;22; 2;31;32;33;0,31250000;0,9393939;3,647383;2,5075758;1184
118;young;6;64;38;0,5937500; 792,6562; 740,0;24; 8; 2;30;32;32;0,75000000;0,9375000;4,500000;1,1250000;1186
118;young;8;66;37;0,5606061; 845,9848; 792,0;26; 6; 3;31;32;34;0,81250000;0,9117647;4,235294;0,7941176;1188
119;young;2;66;65;0,9848485; 550,1970; 532,5; 1;33; 0;32;34;32;0,02941176;1,0000000;2,000000;1,9411765;1192
119;young;4;65;57;0,8769231; 649,0154; 595,0; 7;26; 1;31;33;32;0,21212121;0,9687500;3,841346;3,0265152;1194
119;young;6;64;53;0,8281250; 842,3594; 803,0; 7;25; 4;28;32;32;0,21875000;0,8750000;5,040000;3,9375000;1196
119;young;8;65;39;0,6000000; 818,9538; 707,0;17;15; 9;24;32;33;0,53125000;0,7272727;3,345455;1,5681818;1198
120;young;2;65;64;0,9846154; 563,7385; 536,0; 0;32; 1;32;32;33;0,00000000;0,9696970;1,939394;1,9393939;1202
120;young;4;66;52;0,7878788; 646,1212; 593,0;14;20; 0;32;34;32;0,41176471;1,0000000;4,000000;2,3529412;1204
120;young;6;64;48;0,7500000; 659,5938; 552,5;15;17; 1;31;32;32;0,46875000;0,9687500;5,647059;3,0000000;1206
120;young;8;65;39;0,6000000; 626,7692; 536,0;24; 8; 2;31;32;33;0,75000000;0,9393939;6,060606;1,5151515;1208
201;old;2;64;58;0,9062500; 932,5938; 810,0; 4;28; 2;30;32;32;0,12500000;0,9375000;1,857143;1,6250000;2012
201;old;4;64;40;0,6250000;1056,0312; 942,0;19;13; 5;27;32;32;0,59375000;0,8437500;2,461538;1,0000000;2014
201;old;6;66;43;0,6515152;1118,2273;1059,5;19;14; 4;29;33;33;0,57575758;0,8787879;4,285714;1,8181818;2016
201;old;8;66;34;0,5151515;1218,9697;1081,0;25; 8; 7;26;33;33;0,75757576;0,7878788;1,000000;0,2424242;2018
202;old;2;64;62;0,9687500; 912,3438; 848,0; 1;31; 1;31;32;32;0,03125000;0,9687500;1,935484;1,8750000;2022
202;old;4;66;56;0,8484848;1083,4545;1005,5; 9;24; 1;32;33;33;0,27272727;0,9696970;3,833333;2,7878788;2024
202;old;6;64;38;0,5937500;1180,7031;1132,0;22;10; 4;28;32;32;0,68750000;0,8750000;3,600000;1,1250000;2026
202;old;8;66;43;0,6515152;1279,8788;1161,0;22;11; 1;32;33;33;0,66666667;0,9696970;7,272727;2,4242424;2028
