"subject","age","setsize","totalCases","mean_answer_correct","mean_response_time","median_response_time","sum_answer_correct","sum_of_changes","sum_of_noChanges","falseAlarm","correct_rejections","miss","hit","totalOfChange","totalOfHit","falseAlarmRate","hitRate","k","kPashler","joinKey"
112,"young",6,192,0.776041666666667,1186.09895833333,990.5,149,96,96,26,70,17,79,96,96,0.270833333333333,0.822916666666667,3.3125,4.54285714285714,"1126"
113,"young",2,192,0.927083333333333,746.223958333333,626,178,96,96,5,91,9,87,96,96,0.0520833333333333,0.90625,1.70833333333333,1.8021978021978,"1132"
113,"young",4,192,0.859375,793.635416666667,650,165,96,96,5,91,22,74,96,96,0.0520833333333333,0.770833333333333,2.875,3.03296703296703,"1134"
113,"young",6,192,0.791666666666667,947.5625,710.5,152,96,96,21,75,19,77,96,96,0.21875,0.802083333333333,3.5,4.48,"1136"
114,"young",2,192,0.9375,1143.26041666667,1004.5,180,96,96,3,93,9,87,96,96,0.03125,0.90625,1.75,1.80645161290323,"1142"
114,"young",4,192,0.796875,1295.30208333333,1127.5,153,96,96,23,73,16,80,96,96,0.239583333333333,0.833333333333333,2.375,3.12328767123288,"1144"
114,"young",6,192,0.734375,1353.18229166667,1177,141,96,96,26,70,25,71,96,96,0.270833333333333,0.739583333333333,2.8125,3.85714285714286,"1146"
115,"young",2,192,0.96875,906.677083333333,761,186,96,96,3,93,3,93,96,96,0.03125,0.96875,1.875,1.93548387096774,"1152"
115,"young",4,192,0.822916666666667,1075.38541666667,903,158,96,96,23,73,11,85,96,96,0.239583333333333,0.885416666666667,2.58333333333333,3.3972602739726,"1154"
115,"young",6,192,0.729166666666667,1155.63541666667,955,140,96,96,29,67,23,73,96,96,0.302083333333333,0.760416666666667,2.75,3.94029850746269,"1156"
116,"young",2,192,0.921875,569.505208333333,493.5,177,96,96,7,89,8,88,96,96,0.0729166666666667,0.916666666666667,1.6875,1.82022471910112,"1162"
116,"young",4,192,0.817708333333333,658.307291666667,570,157,96,96,19,77,16,80,96,96,0.197916666666667,0.833333333333333,2.54166666666667,3.16883116883117,"1164"
116,"young",6,192,0.723958333333333,658.395833333333,555.5,139,96,96,46,50,7,89,96,96,0.479166666666667,0.927083333333333,2.6875,5.16,"1166"
117,"young",2,192,0.890625,889.765625,774.5,171,96,96,5,91,16,80,96,96,0.0520833333333333,0.833333333333333,1.5625,1.64835164835165,"1172"
117,"young",4,192,0.78125,952.052083333333,771,150,96,96,21,75,21,75,96,96,0.21875,0.78125,2.25,2.88,"1174"
117,"young",6,192,0.71875,1084.77083333333,904.5,138,96,96,31,65,23,73,96,96,0.322916666666667,0.760416666666667,2.625,3.87692307692308,"1176"
118,"young",2,192,0.9375,649.697916666667,594,180,96,96,3,93,9,87,96,96,0.03125,0.90625,1.75,1.80645161290323,"1182"
118,"young",4,192,0.817708333333333,717.875,659,157,96,96,22,74,13,83,96,96,0.229166666666667,0.864583333333333,2.54166666666667,3.2972972972973,"1184"
118,"young",6,192,0.786458333333333,811.135416666667,700,151,96,96,28,68,13,83,96,96,0.291666666666667,0.864583333333333,3.4375,4.85294117647059,"1186"
119,"young",2,192,0.942708333333333,723.166666666667,622,181,96,96,1,95,10,86,96,96,0.0104166666666667,0.895833333333333,1.77083333333333,1.78947368421053,"1192"
